iter	RMSE
274	1.925647482
275	1.923311256
276	1.920136287
277	1.917104457
278	1.913519272
279	1.912410447
280	1.907494103
281	1.907343439
282	1.902854339
283	1.900112028
284	1.894732283
285	1.893057341
286	1.889817296
287	1.886519284
288	1.884835552
289	1.880141231
290	1.876820744
291	1.874980463
292	1.874793658
293	1.872892588
294	1.869717041
295	1.867376685
296	1.867255421
297	1.864102813
298	1.860765745
299	1.860662768
300	1.859704136
301	1.857692007
302	1.857646154
303	1.854954543
304	1.851923317
305	1.847923705
306	1.846365311
307	1.845663315
308	1.84479743
309	1.842118211
310	1.838586399
311	1.837062999
312	1.83416078
313	1.833361827
314	1.831191851
315	1.82734521
316	1.825349931
317	1.82326165
318	1.821433881
319	1.818314424
320	1.816128525
321	1.815215002
322	1.812551992
323	1.811430651
324	1.808452787
325	1.80708371
326	1.80609713
327	1.804473989
328	1.803679077
329	1.803004109
330	1.798773361
331	1.797686252
332	1.795929528
333	1.795232618
334	1.794260759
335	1.792643119
336	1.787791647
337	1.784430423
338	1.781133133
339	1.778465043
340	1.776384332
341	1.775373232
342	1.775321638
343	1.775280061
344	1.7724872
345	1.771143529
346	1.770510689
347	1.768265709
348	1.767208126
349	1.763064082
350	1.763019879
351	1.762187284
352	1.762056237
353	1.762014345
354	1.76099058
355	1.759421612
356	1.759355201
357	1.757725836
358	1.756316531
359	1.753382854
360	1.753200361
361	1.751551289
362	1.747538399
363	1.745212585
364	1.742958257
365	1.741244219
366	1.739454207
367	1.737879704
368	1.735639501
369	1.735601622
370	1.732696665
371	1.731384023
372	1.72746437
373	1.725263615
374	1.724374924
375	1.723752981
376	1.719230106
377	1.716623143
378	1.715842236
379	1.714570329
380	1.711533986
381	1.709276876
382	1.707142565
383	1.706298768
384	1.70546017
385	1.702298697
386	1.700900618
387	1.700869376
388	1.699852818
389	1.696537058
390	1.695876558
391	1.691636765
392	1.689687753
393	1.687834249
394	1.687223436
395	1.68631083
396	1.685884481
397	1.684748152
398	1.682521935
399	1.680802978
400	1.680479721
401	1.678585294
402	1.676108847
403	1.672340193
404	1.670344499
405	1.669628163
406	1.668700083
407	1.667079776
408	1.665221288
409	1.664845327
410	1.663546404
411	1.661983933
412	1.659825386
413	1.658744275
414	1.65643398
415	1.653922696
416	1.651813081
417	1.650171082
418	1.647854194
419	1.64774895
420	1.647542812
421	1.646296889
422	1.646142714
423	1.645239767
424	1.644908331
425	1.644134819
426	1.642290711
427	1.640843236
428	1.640669921
429	1.640416831
430	1.640214357
431	1.639094831
432	1.637627333
433	1.635588455
434	1.632811997
435	1.631454381
436	1.629724875
437	1.62866062
438	1.626672463
439	1.623754417
440	1.621129876
441	1.619729079
442	1.618486235
443	1.616952884
444	1.616905824
445	1.616135334
446	1.613696205
447	1.612816829
448	1.612755202
449	1.61268402
450	1.612319771
451	1.61090651
452	1.610516708
453	1.609541443
454	1.609305142
455	1.608734303
456	1.607225337
457	1.606527798
458	1.605774374
459	1.604707439
460	1.603577897
461	1.601263496
462	1.600576798
463	1.599109775
464	1.598018681
465	1.597568099
466	1.595865869
467	1.59415289
468	1.593145091
469	1.591905415
470	1.590431349
471	1.59037773
472	1.589431834
473	1.58776766
474	1.585305262
475	1.584750397
476	1.58391943
477	1.582408268
478	1.581324062
479	1.58124215
480	1.58091575
481	1.580128679
482	1.579702307
483	1.578269102
484	1.577091911
485	1.576788143
486	1.576691607
487	1.576656913
488	1.575129196
489	1.574236479
490	1.573309855
491	1.572433925
492	1.57054724
493	1.569095949
494	1.568693973
495	1.568231863
496	1.568072516
497	1.566837583
498	1.566450715
499	1.565032932
500	1.564117499
501	1.561545826
502	1.560324684
503	1.55963167
504	1.559312275
505	1.558161514
506	1.557307169
507	1.556969098
508	1.554746386
509	1.553795876
510	1.55217209
511	1.551648961
512	1.55083232
513	1.548456829
514	1.547843592
515	1.546514025
516	1.546257782
517	1.546231435
518	1.545435862
519	1.543455146
520	1.542475431
521	1.541244113
522	1.540381915
523	1.539245985
524	1.538863875
525	1.537825061
526	1.536781207
527	1.536013389
528	1.534080551
529	1.533733812
530	1.532599594
531	1.532393334
532	1.53019802
533	1.529936328
534	1.529654088
535	1.529491539
536	1.528452031
537	1.528082033
538	1.527489532
539	1.525811806
540	1.524373488
541	1.522497932
542	1.520080669
543	1.519204208
544	1.517612101
545	1.516690426
546	1.516196567
547	1.516168315
548	1.514859627
549	1.514524644
550	1.514339381
551	1.513032178
552	1.51213126
553	1.511170644
554	1.510473526
555	1.510081557
556	1.509279286
557	1.508150712
558	1.508124702
559	1.507762017
560	1.507244991
561	1.507233044
562	1.505742798
563	1.504207791
564	1.503434591
565	1.503042751
566	1.502098278
567	1.501388031
568	1.500666472
569	1.499755073
570	1.499015615
571	1.498973472
572	1.498955289
573	1.498603789
574	1.497708554
575	1.496988478
576	1.495878075
577	1.49474449
578	1.493625686
579	1.492944682
580	1.491241206
581	1.491184904
582	1.490166674
583	1.488472914
584	1.48646327
585	1.485697846
586	1.485005286
587	1.484544505
588	1.483984763
589	1.482738931
590	1.482695499
591	1.482056681
592	1.482040943
593	1.481217852
594	1.480247765
595	1.479237815
596	1.478376713
597	1.477947676
598	1.477014571
599	1.476513891
600	1.4760815
601	1.475233505
602	1.474380463
603	1.473004174
604	1.47263902
605	1.472173283
606	1.471063574
607	1.470512016
608	1.46955326
609	1.469349305
610	1.468544937
611	1.467104418
612	1.46653509
613	1.466376904
614	1.465796186
615	1.465449396
616	1.464001028
617	1.463757478
618	1.461662519
619	1.461169866
620	1.460375468
621	1.458895801
622	1.458781488
623	1.458568941
624	1.458098781
625	1.457316726
626	1.456330928
627	1.454088322
628	1.454044717
629	1.454024004
630	1.453563246
631	1.453380312
632	1.452818316
633	1.452245492
634	1.451476084
635	1.450030221
636	1.449622976
637	1.449599828
638	1.448623848
639	1.447729136
640	1.446138552
641	1.445818282
642	1.444776879
643	1.444019768
644	1.443325373
645	1.443248223
646	1.443232077
647	1.442575439
648	1.442170134
649	1.442151445
650	1.441737743
651	1.441723918
652	1.441320564
653	1.440963224
654	1.439324082
655	1.43823442
656	1.436828364
657	1.435553154
658	1.434907458
659	1.433524208
660	1.433141482
661	1.432160493
662	1.430823954
663	1.430680837
664	1.429072372
665	1.428071618
666	1.426025887
667	1.425677284
668	1.425151112
669	1.424601044
670	1.424322216
671	1.423686373
672	1.423019596
673	1.423000334
674	1.422160087
675	1.421273578
676	1.421179464
677	1.420287845
678	1.420025721
679	1.418259435
680	1.417700092
681	1.417590927
682	1.417181223
683	1.416869006
684	1.415223386
685	1.414379146
686	1.413652633
687	1.413132935
688	1.413010976
689	1.412570182
690	1.412202731
691	1.411745003
692	1.410257772
693	1.409142246
694	1.409069978
695	1.408614577
696	1.408097599
697	1.407899669
698	1.407567356
699	1.407033407
700	1.405561483
701	1.405206902
702	1.405195048
703	1.404113847
704	1.402822313
705	1.402308009
706	1.401823873
707	1.401014466
708	1.400589083
709	1.398574879
710	1.398039582
711	1.397674735
712	1.397513363
713	1.396816104
714	1.39657556
715	1.396255541
716	1.394395101
717	1.393550085
718	1.393082534
719	1.392531554
720	1.391892668
721	1.391417204
722	1.390456672
723	1.390162399
724	1.389469446
725	1.388468816
726	1.388329541
727	1.388011434
728	1.387632607
729	1.38705259
730	1.386563168
731	1.385883304
732	1.385047397
733	1.38474578
734	1.383828619
735	1.383379681
736	1.383041718
737	1.382250498
738	1.381635433
739	1.38039725
740	1.380124679
741	1.37997345
742	1.379894747
743	1.378622578
744	1.377845246
745	1.377466842
746	1.377203233
747	1.376812214
748	1.376779606
749	1.375684579
750	1.375031766
751	1.374825164
752	1.373684905
753	1.372577869
754	1.372222579
755	1.371077127
756	1.370501527
757	1.370281126
758	1.3699192
759	1.369489098
760	1.36910359
761	1.367455151
762	1.365148107
763	1.364755387
764	1.364197804
765	1.364009561
766	1.363588138
767	1.362799909
768	1.362502955
769	1.361822669
770	1.36173208
771	1.361497413
772	1.360868775
773	1.360559544
774	1.359537565
775	1.359065419
776	1.3580428
777	1.357722215
778	1.357402701
779	1.357384564
780	1.356547065
781	1.356072555
782	1.354851996
783	1.354373581
784	1.353043978
785	1.353028518
786	1.352813249
787	1.352617768
788	1.35119468
789	1.351022
790	1.350888063
791	1.35052239
792	1.349441287
793	1.348835365
794	1.348121329
795	1.347720492
796	1.347363314
797	1.34732775
798	1.346704807
799	1.346137448
800	1.345454347
801	1.3451049
802	1.344705692
803	1.344683991
804	1.344209396
805	1.344170864
806	1.343413862
807	1.342933661
808	1.342644439
809	1.339943262
810	1.339125918
811	1.338013499
812	1.337696009
813	1.337675248
814	1.337422894
815	1.337316173
816	1.337277838
817	1.336518894
818	1.336508328
819	1.336395904
820	1.336162505
821	1.335720126
822	1.335270258
823	1.334910445
824	1.334707891
825	1.334439999
826	1.334136314
827	1.333981183
828	1.333965131
829	1.333664304
830	1.332527804
831	1.332161351
832	1.331836377
833	1.330610351
834	1.330274458
835	1.329739195
836	1.329133099
837	1.328755075
838	1.327717046
839	1.327311087
840	1.326981225
841	1.326844137
842	1.326650413
843	1.325891245
844	1.325408106
845	1.323983308
846	1.323521155
847	1.323130069
848	1.320952351
849	1.320439653
850	1.320342315
851	1.32002384
852	1.319237965
853	1.319128617
854	1.31867665
855	1.318258345
856	1.3177372
857	1.317371851
858	1.317344611
859	1.317172885
860	1.316734814
861	1.31655525
862	1.315862591
863	1.314176055
864	1.3139864
865	1.313867612
866	1.312641194
867	1.312391815
868	1.311351533
869	1.311337277
870	1.310430586
871	1.309663449
872	1.309454278
873	1.309332976
874	1.309302336
875	1.309065981
876	1.308500844
877	1.308134827
878	1.307505203
879	1.307063706
880	1.306845175
881	1.306574311
882	1.305793797
883	1.305110673
884	1.304767474
885	1.304337115
886	1.303788046
887	1.303714025
888	1.303604012
889	1.30249688
890	1.302231739
891	1.302223742
892	1.301861773
893	1.300881544
894	1.300766837
895	1.300198077
896	1.300081467
897	1.300029505
898	1.299435056
899	1.299208704
900	1.298687426
901	1.298031683
902	1.297778707
903	1.297661693
904	1.297016177
905	1.296511408
906	1.295922896
907	1.295568257
908	1.295015374
909	1.294425679
910	1.293172449
911	1.292910759
912	1.292618013
913	1.292579516
914	1.291913622
915	1.291426273
916	1.2909769
917	1.290724016
918	1.290529817
919	1.290394916
920	1.290179665
921	1.289854272
922	1.289655429
923	1.28894323
924	1.288664101
925	1.288285811
926	1.288123908
927	1.287401427
928	1.287129444
929	1.286625903
930	1.286563064
931	1.286361869
932	1.286353507
933	1.285399627
934	1.285012372
935	1.284690935
936	1.284562482
937	1.284368885
938	1.283953198
939	1.283263754
940	1.282850914
941	1.28262298
942	1.28248437
943	1.282475382
944	1.282465674
945	1.28193944
946	1.281866563
947	1.281689602
948	1.281638408
949	1.281231284
950	1.281176386
951	1.281109844
952	1.280990633
953	1.280703583
954	1.279986608
955	1.279601115
956	1.27940011
957	1.279166505
958	1.278719047
959	1.277872723
960	1.277147453
961	1.276923115
962	1.276787311
963	1.276584448
964	1.276574059
965	1.276427327
966	1.27616909
967	1.275973544
968	1.275739101
969	1.275487073
970	1.275024705
971	1.274874324
972	1.274520499
973	1.274418732
974	1.2742419
975	1.274173448
976	1.273403905
977	1.273312287
978	1.273173436
979	1.273088905
980	1.272765063
981	1.27273059
982	1.272549256
983	1.271917595
984	1.271554678
985	1.271141081
986	1.270710492
987	1.270247939
988	1.270073474
989	1.269173028
990	1.268303545
991	1.268225944
992	1.268038732
993	1.267784937
994	1.267780814
995	1.267528381
996	1.266945895
997	1.265639096
998	1.265361024
999	1.264745051
